unix_timestamp,z,y,x,value
1630447200,-60,0,0,-47.6069361831
1630447200,-60,0,25,-23.3899494375
1630447200,-60,0,50,-32.0124863775
1630447200,-60,0,80,-509.8936894911
1630447200,-40,0,0,-21.0412119996
1630447200,-40,0,25,-31.6773264384
1630447200,-40,0,50,-23.1023832231
1630447200,-40,0,80,-23.3899494375
1630447200,-20,0,0,-21.3288467904
1630447200,-20,0,25,-32.0124863775
1630447200,-20,0,50,-21.0412119996
1630447200,-20,0,80,-49.2317244975
1630448100,-60,0,0,-47.8936858599
1630448100,-60,0,25,-23.3899494375
1630448100,-60,0,50,-32.0124863775
1630448100,-60,0,80,-508.7649006336
1630448100,-40,0,0,-21.0412119996
1630448100,-40,0,25,-31.6773264384
1630448100,-40,0,50,-23.1023832231
1630448100,-40,0,80,-23.3899494375
1630448100,-20,0,0,-21.3288467904
1630448100,-20,0,25,-32.0124863775
1630448100,-20,0,50,-21.3288467904
1630448100,-20,0,80,-49.2317244975
1630449000,-60,0,0,-48.2282150556
1630449000,-60,0,25,-23.3899494375
1630449000,-60,0,50,-32.0124863775
1630449000,-60,0,80,-507.6359456511
1630449000,-40,0,0,-21.0412119996
1630449000,-40,0,25,-31.6773264384
1630449000,-40,0,50,-23.1023832231
1630449000,-40,0,80,-23.3899494375
1630449000,-20,0,0,-21.3288467904
1630449000,-20,0,25,-32.0124863775
1630449000,-20,0,50,-21.0412119996
1630449000,-20,0,80,-49.2317244975
1630449900,-60,0,0,-48.5627312271
1630449900,-60,0,25,-23.3899494375
1630449900,-60,0,50,-32.0124863775
1630449900,-60,0,80,-507.2746449711
1630449900,-40,0,0,-21.0412119996
1630449900,-40,0,25,-31.6773264384
1630449900,-40,0,50,-23.1023832231
1630449900,-40,0,80,-23.3899494375
1630450800,-60,0,0,-48.8972343744
1630450800,-60,0,25,-23.7254312604
1630450800,-60,0,50,-32.0124863775
1630450800,-60,0,80,-506.5519925775
1630451700,-60,0,0,-49.2317244975
1630451700,-60,0,25,-23.1023832231
1630451700,-60,0,50,-32.0124863775
1630451700,-60,0,80,-506.1454707036
1630451700,-40,0,0,-21.0412119996
1630451700,-40,0,25,-32.0124863775
1630451700,-40,0,50,-23.1023832231
1630451700,-40,0,80,-23.3899494375
1630451700,-20,0,0,-21.3288467904
1630451700,-20,0,25,-32.0124863775
1630451700,-20,0,50,-21.0412119996
1630451700,-20,0,80,-48.8972343744
1630452600,-60,0,0,-49.5662015964
1630452600,-60,0,25,-23.1023832231
1630452600,-60,0,50,-32.0124863775
1630452600,-60,0,80,-505.0161303111
1630452600,-40,0,0,-21.0412119996
1630452600,-40,0,25,-32.2997559591
1630452600,-40,0,50,-23.1023832231
1630452600,-40,0,80,-23.3899494375
1630452600,-20,0,0,-21.3288467904
1630452600,-20,0,25,-32.0124863775
1630452600,-20,0,50,-21.3288467904
1630452600,-20,0,80,-48.8972343744
1630453500,-40,0,0,-21.0412119996
1630453500,-40,0,25,-32.2997559591
1630453500,-40,0,50,-23.1023832231
1630453500,-40,0,80,-23.3899494375
1630454400,-60,0,0,-50.2351167216
1630454400,-60,0,25,-23.1023832231
1630454400,-60,0,50,-32.0124863775
1630454400,-60,0,80,-503.5251466224
1630454400,-40,0,0,-21.0412119996
1630454400,-40,0,25,-32.2997559591
1630454400,-40,0,50,-23.1023832231
1630454400,-40,0,80,-23.3899494375
1630454400,-20,0,0,-21.3288467904
1630454400,-20,0,25,-32.0124863775
1630454400,-20,0,50,-21.0412119996
1630454400,-20,0,80,-48.8972343744
1630455300,-60,0,0,-50.2351167216
1630455300,-60,0,25,-23.3899494375
1630455300,-60,0,50,-32.2997559591
1630455300,-60,0,80,-504.6547062999
1630455300,-40,0,0,-21.0412119996
1630455300,-40,0,25,-32.5870159719
1630455300,-40,0,50,-23.1023832231
1630455300,-40,0,80,-23.7254312604
1630455300,-20,0,0,-21.3288467904
1630455300,-20,0,25,-32.0124863775
1630455300,-20,0,50,-21.0412119996
1630455300,-20,0,80,-48.5627312271
1630456200,-60,0,0,-50.5695547479
1630456200,-60,0,25,-23.3899494375
1630456200,-60,0,50,-32.2997559591
1630456200,-60,0,80,-502.3954208199
1630456200,-40,0,0,-21.0412119996
1630456200,-40,0,25,-32.5870159719
1630456200,-40,0,50,-23.1023832231
1630456200,-40,0,80,-23.7254312604
1630456200,-20,0,0,-21.3288467904
1630456200,-20,0,25,-32.0124863775
1630456200,-20,0,50,-21.0412119996
1630456200,-20,0,80,-48.5627312271
1630457100,-60,0,0,-50.90397975
1630457100,-60,0,25,-23.3899494375
1630457100,-60,0,50,-32.2997559591
1630457100,-60,0,80,-501.2655288924
1630457100,-40,0,0,-21.0412119996
1630457100,-40,0,25,-32.9221405596
1630457100,-40,0,50,-23.1023832231
1630457100,-40,0,80,-23.7254312604
1630457100,-20,0,0,-21.3288467904
1630457100,-20,0,25,-32.0124863775
1630457100,-20,0,50,-21.0412119996
1630457100,-20,0,80,-48.5627312271
1630458000,-60,0,0,-51.1906193856
1630458000,-60,0,25,-23.3899494375
1630458000,-60,0,50,-32.2997559591
1630458000,-60,0,80,-500.90392839
1630458000,-40,0,0,-21.0412119996
1630458000,-40,0,25,-32.9221405596
1630458000,-40,0,50,-23.1023832231
1630458000,-40,0,80,-23.7254312604
1630458900,-60,0,0,-51.5250201999
1630458900,-60,0,25,-23.3899494375
1630458900,-60,0,50,-32.2997559591
1630458900,-60,0,80,-500.5423108764
1630458900,-40,0,0,-21.0412119996
1630458900,-40,0,25,-33.20937984
1630458900,-40,0,50,-23.1023832231
1630458900,-40,0,80,-23.7254312604
1630458900,-20,0,0,-21.3288467904
1630458900,-20,0,25,-32.0124863775
1630458900,-20,0,50,-21.3288467904
1630458900,-20,0,80,-48.5627312271
1630459800,-60,0,0,-51.85940799
1630459800,-60,0,25,-23.3899494375
1630459800,-60,0,50,-32.2997559591
1630459800,-60,0,80,-500.1806763516
1630459800,-40,0,0,-21.0412119996
1630459800,-40,0,25,-33.20937984
1630459800,-40,0,50,-23.1023832231
1630459800,-40,0,80,-23.7254312604
1630459800,-20,0,0,-21.3288467904
1630459800,-20,0,25,-32.0124863775
1630459800,-20,0,50,-21.0412119996
1630459800,-20,0,80,-48.5627312271
1630460700,-60,0,0,-52.1937827559
1630460700,-60,0,25,-23.3899494375
1630460700,-60,0,50,-32.2997559591
1630460700,-60,0,80,-499.4121465039
1630460700,-40,0,0,-21.0412119996
1630460700,-40,0,25,-33.20937984
1630460700,-40,0,50,-23.1023832231
1630460700,-40,0,80,-23.7254312604
1630460700,-20,0,0,-21.3288467904
1630460700,-20,0,25,-32.0124863775
1630460700,-20,0,50,-21.0412119996
1630460700,-20,0,80,-48.5627312271
1630461600,-60,0,0,-52.5281444976
1630461600,-60,0,25,-23.3899494375
1630461600,-60,0,50,-32.2997559591
1630461600,-60,0,80,-499.4121465039
1630461600,-40,0,0,-21.0412119996
1630461600,-40,0,25,-33.5444802399
1630461600,-40,0,50,-23.1023832231
1630461600,-40,0,80,-23.7254312604
1630461600,-20,0,0,-21.3288467904
1630461600,-20,0,25,-32.0124863775
1630461600,-20,0,50,-21.0412119996
1630461600,-20,0,80,-48.5627312271
1630462500,-60,0,0,-52.81472991
1630462500,-60,0,25,-23.3899494375
1630462500,-60,0,50,-32.2997559591
1630462500,-60,0,80,-498.2818160064
1630462500,-40,0,0,-21.0412119996
1630462500,-40,0,25,-33.5444802399
1630462500,-40,0,50,-23.1023832231
1630462500,-40,0,80,-23.7254312604
1630462500,-20,0,0,-21.3288467904
1630462500,-20,0,25,-32.0124863775
1630462500,-20,0,50,-21.0412119996
1630462500,-20,0,80,-48.2282150556
1630463400,-60,0,0,-53.1490674639
1630463400,-60,0,25,-23.3899494375
1630463400,-60,0,50,-32.2997559591
1630463400,-60,0,80,-498.2818160064
1630463400,-40,0,0,-21.0412119996
1630463400,-40,0,25,-33.8316987879
1630463400,-40,0,50,-23.1023832231
1630463400,-40,0,80,-24.0129767424
1630463400,-20,0,0,-21.3288467904
1630463400,-20,0,25,-32.0124863775
1630463400,-20,0,50,-21.0412119996
1630463400,-20,0,80,-48.5627312271
1630464300,-60,0,0,-53.1490674639
1630464300,-60,0,25,-23.3899494375
1630464300,-60,0,50,-32.5870159719
1630464300,-60,0,80,-497.5583173056
1630464300,-40,0,0,-21.0412119996
1630464300,-40,0,25,-33.8316987879
1630464300,-40,0,50,-23.1023832231
1630464300,-40,0,80,-24.0129767424
1630464300,-20,0,0,-21.3288467904
1630464300,-20,0,25,-32.0124863775
1630464300,-20,0,50,-21.0412119996
1630464300,-20,0,80,-48.2282150556
1630465200,-60,0,0,-53.4833919936
1630465200,-60,0,25,-23.3899494375
1630465200,-60,0,50,-32.2997559591
1630465200,-60,0,80,-496.0206566364
1630466100,-60,0,0,-53.8177034991
1630466100,-60,0,25,-23.7254312604
1630466100,-60,0,50,-32.5870159719
1630466100,-60,0,80,-496.4277143631
1630466100,-40,0,0,-21.0412119996
1630466100,-40,0,25,-34.166775
1630466100,-40,0,50,-23.1023832231
1630466100,-40,0,80,-24.0129767424
1630466100,-20,0,0,-21.3288467904
1630466100,-20,0,25,-32.0124863775
1630466100,-20,0,50,-21.0412119996
1630466100,-20,0,80,-48.2282150556
1630467000,-60,0,0,-54.1520019804
1630467000,-60,0,25,-23.3899494375
1630467000,-60,0,50,-32.5870159719
