unix_timestamp,value
1630447200,15.825
1630450800,15.37
1630454400,14.875
1630458000,14.615
1630461600,14.185
1630465200,13.93
1630468800,13.8
1630472400,13.925
1630476000,17.365
1630479600,19.98
1630483200,21.915
1630486800,24.685
1630490400,25.98
1630494000,26.02
1630497600,26.75
1630501200,28.1
1630504800,27.56
1630508400,27.275
1630512000,26.43
1630515600,23.665
1630519200,19.53
1630522800,17.715
1630526400,17.21
1630530000,17.1
1630533600,16.27
1630537200,15.8
1630540800,14.86
1630544400,14.64
1630548000,14.335
1630551600,14.165
1630555200,13.925
1630558800,15.74
1630562400,19.115
1630566000,23.245
1630569600,24.585
1630573200,25.735
1630576800,26.41
1630580400,26.585
1630584000,26.815
1630587600,27.135
1630591200,26.98
1630594800,26.595
1630598400,25.75
1630602000,23.475
1630605600,17.135
1630609200,14.855
1630612800,14.055
1630616400,14.18
1630620000,14.39
1630623600,14.165
1630627200,13.885
1630630800,13.625
1630634400,13.155
1630638000,13.02
1630641600,12.855
1630645200,13.35
1630648800,17.335
1630652400,20.285
1630656000,24.11
1630659600,24.835
1630663200,26.3
1630666800,26.295
1630670400,26.985
1630674000,28.225
1630677600,27.965
1630681200,26.755
1630684800,24.285
1630688400,21.675
1630692000,17.765
1630695600,16.025
1630699200,16.345
1630702800,16.42
1630706400,16.195
1630710000,16.61
1630713600,16.47
1630717200,15.21
1630720800,13.975
1630724400,14.03
1630728000,14.135
1630731600,17.195
1630735200,22.74
1630738800,24.835
1630742400,23.535
1630746000,22.895
1630749600,23.405
1630753200,23.25
1630756800,23.13
1630760400,22.55
1630764000,22.56
1630767600,23.22
1630771200,26.445
1630774800,23
1630778400,20.49
1630782000,19.37
1630785600,18.035
1630789200,16.915
1630792800,16.13
1630796400,15.615
1630800000,15.055
1630803600,14.665
1630807200,14.29
1630810800,13.92
1630814400,13.6
1630818000,14.01
1630821600,17.545
1630825200,21.295
1630828800,24.87
1630832400,26.26
1630836000,27.73
1630839600,27.82
1630843200,28.165
1630846800,28.68
1630850400,28.915
1630854000,28.09
1630857600,27.155
1630861200,23.565
1630864800,17.37
1630868400,15.685
1630872000,15.62
1630875600,15.375
1630879200,15.17
1630882800,14.83
1630886400,14.555
1630890000,14.12
1630893600,13.69
1630897200,13.31
1630900800,12.92
1630904400,13.5
1630908000,17.5
1630911600,22.705
1630915200,23.465
1630918800,24.74
1630922400,26.045
1630926000,26.87
1630929600,27.645
1630933200,28.83
1630936800,28.78
1630940400,28.3
1630944000,27.295
1630947600,23.33
1630951200,16.725
1630954800,15.715
1630958400,15.59
1630962000,15.23
1630965600,14.94
1630969200,14.92
1630972800,14.565
1630976400,14.375
1630980000,13.85
1630983600,13.44
1630987200,13.295
1630990800,13.775
1630994400,17.55
1630998000,21.685
1631001600,25.355
1631005200,26.725
1631008800,27.46
1631012400,28.125
1631016000,27.295
1631019600,28.335
1631023200,28.505
1631026800,27.695
1631030400,25.895
1631034000,21.82
1631037600,16.425
1631041200,15.095
1631044800,14.985
1631048400,15.135
1631052000,15.48
1631055600,15.135
1631059200,14.51
1631062800,14.485
1631066400,14.235
1631070000,13.835
1631073600,13.49
1631077200,13.94
1631080800,17.515
1631084400,22.175
1631088000,25.635
1631091600,26.855
1631095200,27.24
1631098800,27.35
1631102400,28.03
1631106000,28.715
1631109600,28.99
1631113200,27.675
1631116800,27.06
1631120400,23.175
1631124000,18.455
1631127600,15.785
1631131200,16.035
1631134800,15.7
1631138400,14.67
1631142000,15.105
1631145600,14.27
1631149200,13.805
1631152800,13.48
1631156400,13.115
1631160000,12.84
1631163600,13.295
1631167200,17.735
1631170800,20.835
1631174400,25.17
1631178000,26.115
1631181600,26.75
1631185200,27.66
1631188800,28.255
1631192400,29.465
1631196000,28.445
1631199600,27.855
1631203200,26.66
1631206800,23.38
1631210400,17.725
1631214000,16.09
1631217600,17.135
1631221200,17.24
1631224800,17.005
1631228400,16.61
1631232000,16.025
1631235600,15.81
1631239200,15.405
1631242800,15.18
1631246400,14.745
1631250000,15.005
1631253600,18.93
1631257200,23.08
1631260800,25.215
1631264400,27.1
1631268000,27.84
1631271600,28.21
1631275200,28.76
1631278800,29.515
1631282400,28.56
1631286000,26.66
1631289600,24.895
1631293200,23.34
1631296800,20.63
1631300400,18.8
