unix_timestamp,value
1631001600,55.3
1631005200,52.85
1631008800,49
1631012400,45.3
1631016000,46.5
1631019600,46.4
1631023200,45.15
1631026800,45.45
1631030400,46.9
1631034000,56.5
1631037600,74.1
1631041200,79.15
1631044800,79.7
1631048400,77.95
1631052000,76.35
1631055600,76.45
1631059200,77.1
1631062800,76.4
1631066400,75.35
1631070000,75.5
1631073600,76.2
1631077200,76.45
1631080800,69.05
1631084400,60.7
1631088000,53.8
1631091600,51.25
1631095200,49.85
1631098800,45.8
1631102400,43.4
1631106000,40.9
1631109600,41.3
1631113200,44.9
1631116800,46.1
1631120400,54.55
1631124000,70.05
1631127600,81
1631131200,79.2
1631134800,78.6
1631138400,81.3
1631142000,79.8
1631145600,80.1
1631149200,80.3
1631152800,80.15
1631156400,80
1631160000,79.9
1631163600,79.75
1631167200,70.45
1631170800,62.8
1631174400,55.6
1631178000,53.25
1631181600,50.25
1631185200,47
1631188800,43.8
1631192400,41.25
1631196000,42.05
1631199600,42.25
1631203200,43.95
1631206800,50.65
1631210400,69.55
1631214000,77.3
1631217600,72.6
1631221200,70.95
1631224800,71.45
1631228400,72.7
1631232000,74.6
1631235600,75.7
1631239200,76.6
1631242800,77.15
1631246400,78.1
1631250000,78.45
1631253600,70.8
1631257200,60.8
1631260800,53.7
1631264400,50
1631268000,44.95
1631271600,40.3
1631275200,40
1631278800,41.35
1631282400,46.8
1631286000,50.4
1631289600,56.95
1631293200,65.3
1631296800,77.05
1631300400,85.3
1631304000,87.35
1631307600,85.85
1631311200,84.35
1631314800,83.55
1631318400,82.35
1631322000,81.45
1631325600,80.15
1631329200,79.9
1631332800,79.1
1631336400,77.05
1631340000,70.9
1631343600,64
1631347200,56.35
1631350800,55.5
1631354400,52.45
1631358000,49.75
1631361600,47.55
1631365200,46.6
1631368800,47.05
1631372400,48.7
1631376000,50.45
1631379600,56.3
1631383200,72.4
1631386800,81.05
1631390400,77.5
1631394000,75.35
1631397600,76
1631401200,76.9
1631404800,78.75
1631408400,79.7
1631412000,80.4
1631415600,81.8
1631419200,82.25
1631422800,82.7
1631426400,75.5
1631430000,67.5
1631433600,56.85
1631437200,53.4
1631440800,46.25
1631444400,44.55
1631448000,45.1
1631451600,44.1
1631455200,43.5
1631458800,43.85
1631462400,44.7
1631466000,54.75
1631469600,72.55
1631473200,72.85
1631476800,68.75
1631480400,68.35
1631484000,73.15
1631487600,74.55
1631491200,75.15
1631494800,76.6
1631498400,77.95
1631502000,78.15
1631505600,78.05
1631509200,74.75
1631512800,65.95
1631516400,57.4
1631520000,47.5
1631523600,43.9
1631527200,41.5
1631530800,40.2
1631534400,39.7
1631538000,38.2
1631541600,36.7
1631545200,36.85
1631548800,39.05
1631552400,52.3
1631556000,67.95
1631559600,65.5
1631563200,64.85
1631566800,62.8
1631570400,61.5
1631574000,62.15
1631577600,63.5
1631581200,65.1
1631584800,66.4
1631588400,68.35
1631592000,70.1
1631595600,70.95
1631599200,63.9
1631602800,56.85
1631606400,48.95
1631610000,46.35
1631613600,43.6
1631617200,42.45
1631620800,40.95
1631624400,40.55
1631628000,39.1
1631631600,42.7
1631635200,51
1631638800,67
1631642400,67.75
1631646000,64.05
1631649600,60.55
1631653200,69.3
1631656800,75.5
1631660400,77.8
1631664000,75.35
1631667600,67.2
1631671200,67.85
1631674800,69.15
1631678400,71.5
1631682000,75.25
1631685600,74.7
1631689200,67.2
1631692800,55.8
1631696400,48.45
1631700000,42.35
1631703600,40.1
1631707200,39.75
1631710800,44.5
1631714400,47.3
1631718000,46.3
1631721600,48.9
1631725200,51.35
