time_total_s,status,config__prototype,config__normalization__with_std,config__normalization__with_scaling,config__normalization__with_mean,config__normalization__with_centering,config__normalization__type,config__imputation__type,config__imputation__strategy,config__imputation__initial_strategy,config__imputation__imputation_order,config__features__type,config__features__n_components,config__features__k,config__classification__weights,config__classification__type,config__classification__solver,config__classification__n_neurons,config__classification__n_neighbors,config__classification__n_hidden_layers,config__classification__n_estimators,config__classification__min_samples_split,config__classification__metric,config__classification__max_leaf_nodes,config__classification__max_features,config__classification__max_depth,config__classification__learning_rate,config__classification__criterion,config__classification__bootstrap,config__classification__alpha,config__classification__activation,balanced_accuracy
0.6870431900024414,success,normalization_imputation_features_classification,,,,,PowerTransformer,IterativeImputer,,constant,ascending,PCA,7,,uniform,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,,0.9761904761904763
0.23757100105285645,success,imputation_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,5,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,,0.9761904761904763
0.4900341033935547,success,imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,6,distance,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,,0.9619047619047618
0.8239688873291016,success,imputation_normalization_features_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,ascending,PCA,7,,distance,KNeighborsClassifier,,,13,,,,manhattan,,,,,,,,,0.9761904761904763
0.22618651390075684,success,imputation_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,4,uniform,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,,0.9523809523809523
0.4988131523132324,success,normalization_imputation_features_classification,False,,True,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,,RandomForestClassifier,,,,,10,5,,5,1,1,,gini,True,,,0.8379365079365078
0.028403520584106445,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,,0.7282936507936507
0.029551267623901367,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,,0.7186111111111111
0.03223371505737305,success,imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,,0.6920238095238096
0.05451011657714844,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,,0.7282936507936507
0.03852105140686035,success,imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,,0.7093253968253969
0.07445287704467773,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,,0.7186111111111111
0.08460378646850586,success,imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,,0.6581349206349206
0.036626338958740234,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,,0.7247222222222222
0.06246376037597656,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,,0.6920238095238096
0.03777050971984863,success,imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,,0.7282936507936507
0.04569363594055176,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,,0.7199603174603174
0.03803730010986328,success,features_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,8,,,,euclidean,,,,,,,,,0.6903571428571429
0.042203426361083984,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,,0.7266269841269841
0.04998493194580078,success,normalization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,,0.6504761904761904
0.028078556060791016,success,normalization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,,0.7247222222222222
